headerImage,Sum of upVotes
https://svn.apache.org/repos/asf/comdev/project-logos/originals/httpd.svg,310
https://wallpapercave.com/wp/wp1923643.jpg,308
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/c01de60e9c66a6941ed600608a3287e9.png,299
https://assets.tryhackme.com/room-banners/DockerPrivEscRodeoBanner.png,289
https://assets.tryhackme.com/room-banners/powershellbg.png,285
https://cdn.pixabay.com/photo/2020/04/25/11/12/electrocardiogram-5090337_960_720.jpg,283
https://i.imgur.com/xgHwRVs.png,282
https://i.imgur.com/1rvK8WH.jpg,274
https://i.imgur.com/iGWyOuJ.png,274
https://i.imgur.com/5q36e1g.png,272
https://assets.tryhackme.com/additional/banners/mobsf-banner.png,271
https://assets.tryhackme.com/additional/investigation-series/investigating-windows-banner.png,268
https://i.imgur.com/GF8Xhq5.png,265
https://i.imgur.com/JjEWAGS.png,265
https://m4dr1nch.github.io/writeups/cybercrafted/assets/img/cc-banner.png,265
https://tryhackme-images.s3.amazonaws.com/user-uploads/5e8dd9a4a45e18443162feab/room-content/948b937558b234eb26469bfb19e25bd8.png,255
https://f11snipe.cloud/assets/img/b3dr0ck-banner.png,254
https://cdn.pixabay.com/photo/2018/08/26/18/45/server-3632935_960_720.jpg,252
https://i.imgur.com/G9Fz6Kl.png,251
https://i.imgur.com/uJGDcdF.png,248
https://i.imgur.com/KoKRoAE.png,247
https://tryhackme-images.s3.amazonaws.com/user-uploads/62a7685ca6e7ce005d3f3afe/room-content/73a564584deefeab7eac117e03da45f6.png,246
https://assets.muirlandoracle.co.uk/thm/rooms/hipflask/12017b349823.png,246
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/30e28f5794b7cbcb7375159dac41c289.png,245
https://i.ibb.co/P9VN3VD/bgrnd.jpg,243
https://assets.tryhackme.com/additional/brimchallenge/brim-challenge-banner2.png,239
https://i.imgur.com/EgjVHqE.png,235
https://i.imgur.com/riFhcXC.png,232
https://i.imgur.com/aohxmGa.jpg,231
https://assets.tryhackme.com/additional/banners/sqhell_banner.jpg,230
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Delphi%2C_Greece_-_panoramio.jpg/1920px-Delphi%2C_Greece_-_panoramio.jpg,230
https://assets.tryhackme.com/room-banners/iosforensics.png,228
https://i.imgur.com/4AocURG.jpg,228
https://tryhackme-images.s3.amazonaws.com/user-uploads/5ed5961c6276df568891c3ea/room-content/4cd514b56e4bd14874a3d48f2da26297.png,227
/img/banners/throwback.png,226
https://i.imgur.com/iMOlNjg.jpg,224
https://assets.tryhackme.com/additional/CVE-2022-26134/room-banner-final.png,223
https://i.imgur.com/bGrhqUP.png,216
https://i.imgur.com/0cGWCRw.png,216
https://qph.fs.quoracdn.net/main-qimg-63a96d7122122543d2dca205274e4a78,211
https://miro.medium.com/max/2560/1*enCF61GFzLovMNXzAJmVNQ.png,211
https://i.imgur.com/jcPrF8H.png,208
https://images.unsplash.com/photo-1550751827-4bd374c3f58b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,207
https://i.imgur.com/SRmSCVZ.png,204
https://tryhackme-images.s3.amazonaws.com/user-uploads/5ed5961c6276df568891c3ea/room-content/41559fc8aebd7533d81ac1f66d69e9c1.png,203
https://i.imgur.com/WfZdDQK.png,194
https://i.imgur.com/WjN40TW.png,194
https://i.imgur.com/8C4TXFS.jpg,194
https://assets.tryhackme.com/additional/sandbox-evasion/Sandbox%20evasion%20banner.png,193
https://github.com/jopraveen/exploit-development/raw/main/pwn101%20banner.png,188
https://www.wclaymoody.com/blog/assets/images/castle-banner.png,187
https://i.imgur.com/QgHR6AT.png,186
https://tryhackme-images.s3.amazonaws.com/user-uploads/5fb4d2969a25095e200e4b6c/room-content/524f1f04bbaf41f624d42db184594e14.png,185
https://assets.tryhackme.com/additional/banners/TheHive%20project%20banner.png,184
https://assets.tryhackme.com/additional/linuxforensics/room-banner.png,181
https://i.imgur.com/pLNt99I.png,180
https://raw.githubusercontent.com/TobjasR/annie/main/woman-6554271_w.jpg,180
https://assets.tryhackme.com/additional/banners/Digital%20forensics%20and%20incident%20response%20banner.png,179
https://tryhackme-images.s3.amazonaws.com/user-uploads/63da722f2d207d0049da10b1/room-content/d6713968f4510b8f13466039574decb6.png,178
https://images.unsplash.com/photo-1533743983669-94fa5c4338ec?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1392&q=80,177
https://assets.tryhackme.com/additional/redline101/redline-banner4.png,174
https://assets.muirlandoracle.co.uk/thm/rooms/cyberweek2021/SBRC-Background.png,174
https://assets.tryhackme.com/additional/investigation-series/investigating-windows-banner3.png,173
https://blog.apnic.net/wp-content/uploads/2019/10/ActiveDirectory_attack_banner-555x202.png?v=e8845f956b3e483ea2c96ce91004bf8e,170
https://assets.tryhackme.com/additional/conti/conti-room-banner.png,168
https://i.imgur.com/yvuFbNQ.jpeg,167
https://i.imgur.com/JiwG6Si.png,167
https://tryhackme-images.s3.amazonaws.com/user-uploads/645b19f5d5848d004ab9c9e2/room-content/3a87f46cd41d70622dcfa6b10c2a79bb.png,167
https://i.imgur.com/aOga4CU.png,165
https://tryhackme-images.s3.amazonaws.com/user-uploads/5f04259cf9bf5b57aed2c476/room-content/937369ff3aaee1d1e101fd67e00f7066.png,165
https://pbs.twimg.com/profile_banners/1696074763/1605441583/1500x500,164
https://assets.tryhackme.com/img/yoto.png,163
https://i.imgur.com/YBWVrXE.png,163
https://tryhackme-images.s3.amazonaws.com/user-uploads/60c1834f577d63004fdaec50/room-content/a255bca5c673fd86e8302d36ab4ca23e.png,161
https://i.imgur.com/yGq1mtN.jpg,159
https://cdn.pixabay.com/photo/2013/07/13/09/46/labyrinth-155972_1280.png,153
https://assets.tryhackme.com/room-banners/kubectl.jpeg,149
https://upload.wikimedia.org/wikipedia/commons/1/11/Hellenic_Parliament_from_high_above.jpg,148
https://tryhackme-images.s3.amazonaws.com/user-uploads/63da722f2d207d0049da10b1/room-content/8c5ab5c62547be1c06c33d5e9c96e129.png,147
https://i.imgur.com/fMlgco5.jpg,147
https://cdn.discordapp.com/attachments/800252815888089093/814759023782002718/20210226_125111.jpg,146
https://assets.tryhackme.com/additional/pseclipse/pseclipse-banner.png,146
https://tryhackme-images.s3.amazonaws.com/user-uploads/60c1834f577d63004fdaec50/room-content/dd9ebe7759e9a13c1c879f86699b90c4.png,143
https://tryhackme-images.s3.amazonaws.com/user-uploads/5dbea226085ab6182a2ee0f7/room-content/de8c03fc362f02d3e94103dc17a8a0bb.png,142
https://images.unsplash.com/photo-1489389944381-3471b5b30f04?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,141
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/b514b04ba1f0220f04883994cfc6ea9f.png,141
https://live.staticflickr.com/3444/3381603213_6565128fd5_b.jpg,141
https://tryhackme-images.s3.amazonaws.com/user-uploads/5dbea226085ab6182a2ee0f7/room-content/407f155692f2e16814c8ae2e2151b143.png,140
https://cdn.pixabay.com/photo/2016/11/08/05/20/adventure-1807524_960_720.jpg,139
https://tryhackme-images.s3.amazonaws.com/user-uploads/5dbea226085ab6182a2ee0f7/room-content/596edd6b80bfcaf4f9bc8e70b33fe4c4.png,139
https://0cirius0.github.io/writeup/assets/img/metamorphosis/main.jpg,138
https://assets.tryhackme.com/additional/nhoa/nhoa-banner.png,136
https://i.imgur.com/dgruFj1.png,136
https://assets.tryhackme.com/additional/squidgame/squidds.png,132
https://images.unsplash.com/photo-1486312338219-ce68d2c6f44d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1472&q=80,132
https://tryhackme-images.s3.amazonaws.com/user-uploads/62a7685ca6e7ce005d3f3afe/room-content/51fb2068fe5a798cdb18cfd3c4dfcdec.png,129
https://coingeek.com/wp-content/uploads/2019/06/binance-decides-to-block-us-users-but-gives-them-a-back-door.jpg,128
https://assets.tryhackme.com/additional/thatstheticket/banner.png,126
https://i.imgur.com/ghIbXQC.png,125
https://i.imgur.com/fc9GQpt.png,125
https://tryhackme-images.s3.amazonaws.com/user-uploads/5e8dd9a4a45e18443162feab/room-content/1249313dc81d95500d04b2468ac6fe10.png,123
http://assets.tryhackme.com/room-banners/dllhijacking.png,120
https://www.honeytokens.io/img/LumberjackTurtle.png,119
https://qlaims.com/wp-content/uploads/2017/10/drone-header.jpg,119
https://i.imgur.com/n674uAu.png,116
https://tryhackme-images.s3.amazonaws.com/user-uploads/5dbea226085ab6182a2ee0f7/room-content/435a0ddf9e3712244ff095ae3bf8f84c.png,115
https://assets.tryhackme.com/room-banners/csp.png,114
https://assets.tryhackme.com/additional/procdot/procdot-room-banner1.png,107
https://tryhackme-images.s3.amazonaws.com/user-uploads/63588b5ef586912c7d03c4f0/room-content/c62fc0b6f9d22ed2fddc718004c3d5ea.png,106
https://i.imgur.com/iHK8XGS.png,103
https://i.imgur.com/Y5kOPJB.png,102
https://i.imgur.com/XXcnchz.png,98
https://i.imgur.com/UySYgtM.png,95
https://i.imgur.com/aoogIkf.jpeg,95
https://assets.tryhackme.com/room-banners/hadoop.png,94
https://i.imgur.com/tdShn6n.png,92
https://i.imgur.com/6mPK3PT.png,92
https://i.imgur.com/kow1dpO.png,92
https://tryhackme-images.s3.amazonaws.com/user-uploads/5dbea226085ab6182a2ee0f7/room-content/afe9ab51b908e5af168f28035d81a540.png,91
